Fecha,Pacientes,Positivos,En_estudio
13/04/2020,12,2,10
13/04/2020,11,2,9
13/04/2020,0,0,0
13/04/2020,0,0,0
13/04/2020,3,1,3
14/04/2020,11,2,9
14/04/2020,11,2,9
14/04/2020,0,0,0
14/04/2020,0,0,0
14/04/2020,4,1,3
15/04/2020,11,1,10
15/04/2020,12,2,10
15/04/2020,0,0,0
15/04/2020,47,7,40
15/04/2020,5,1,4
16/04/2020,6,1,5
16/04/2020,10,2,8
16/04/2020,0,0,0
16/04/2020,50,10,40
16/04/2020,6,1,4
17/04/2020,8,1,7
17/04/2020,8,3,5
17/04/2020,0,0,0
17/04/2020,45,6,39
17/04/2020,10,1,1
18/04/2020,12,1,11
18/04/2020,7,3,4
18/04/2020,0,0,0
18/04/2020,47,8,39
18/04/2020,2,0,1
19/04/2020,14,1,13
19/04/2020,6,3,3
19/04/2020,0,0,0
19/04/2020,47,8,39
19/04/2020,4,1,3
20/04/2020,11,1,10
20/04/2020,6,2,4
20/04/2020,0,0,0
20/04/2020,69,14,55
20/04/2020,2,1,1
21/04/2020,11,2,9
21/04/2020,14,2,12
21/04/2020,1,0,1
21/04/2020,76,14,62
21/04/2020,2,1,1
22/04/2020,15,2,13
22/04/2020,14,3,11
22/04/2020,1,0,1
22/04/2020,70,18,52
22/04/2020,2,1,3
23/04/2020,12,2,10
23/04/2020,15,3,12
23/04/2020,2,0,2
23/04/2020,69,20,49
23/04/2020,3,0,3
24/04/2020,10,3,7
24/04/2020,17,4,13
24/04/2020,2,0,2
24/04/2020,63,12,51
24/04/2020,1,0,1
25/04/2020,9,3,6
25/04/2020,18,3,15
25/04/2020,2,0,2
25/04/2020,61,19,42
25/04/2020,1,0,1
26/04/2020,13,3,10
26/04/2020,18,3,15
26/04/2020,2,0,2
26/04/2020,63,18,45
26/04/2020,4,0,4
27/04/2020,11,3,8
27/04/2020,20,3,17
27/04/2020,2,0,2
27/04/2020,73,19,54
27/04/2020,2,0,2
28/04/2020,14,2,12
28/04/2020,20,5,15
28/04/2020,2,0,2
28/04/2020,65,18,47
28/04/2020,5,1,1
29/04/2020,11,0,11
29/04/2020,21,6,15
29/04/2020,4,0,4
29/04/2020,69,19,50
29/04/2020,1,1,0
30/04/2020,10,3,7
30/04/2020,19,6,13
30/04/2020,5,0,5
30/04/2020,64,20,44
30/04/2020,0,0,0
01/05/2020,10,3,7
01/05/2020,19,5,14
01/05/2020,6,0,6
01/05/2020,64,20,44
01/05/2020,11,1,1
02/05/2020,17,2,15
02/05/2020,16,4,12
02/05/2020,4,0,4
02/05/2020,70,20,50
02/05/2020,0,0,0
03/05/2020,18,4,14
03/05/2020,18,4,14
03/05/2020,3,0,3
03/05/2020,63,15,48
03/05/2020,1,1,4
04/05/2020,19,3,16
04/05/2020,18,4,14
04/05/2020,3,0,3
04/05/2020,82,17,65
04/05/2020,2,1,4
05/05/2020,21,5,16
05/05/2020,20,6,14
05/05/2020,2,0,2
05/05/2020,84,25,59
05/05/2020,4,3,6
06/05/2020,20,6,14
06/05/2020,21,6,15
06/05/2020,1,0,1
06/05/2020,85,15,70
06/05/2020,9,9,0
07/05/2020,18,7,11
07/05/2020,22,5,17
07/05/2020,1,0,1
07/05/2020,73,21,52
07/05/2020,11,7,3
08/05/2020,19,9,10
08/05/2020,21,6,15
08/05/2020,4,0,4
08/05/2020,83,21,62
08/05/2020,3,2,1
09/05/2020,19,8,11
09/05/2020,15,6,9
09/05/2020,4,0,4
09/05/2020,86,27,59
09/05/2020,2,2,1
10/05/2020,21,7,14
10/05/2020,14,5,9
10/05/2020,4,0,4
10/05/2020,90,26,64
10/05/2020,6,1,7
11/05/2020,22,4,18
11/05/2020,17,7,10
11/05/2020,6,2,4
11/05/2020,94,26,68
11/05/2020,12,5,7
12/05/2020,25,5,20
12/05/2020,20,8,12
12/05/2020,7,2,5
12/05/2020,98,29,69
12/05/2020,13,6,7
13/05/2020,24,10,14
13/05/2020,19,8,11
13/05/2020,9,2,7
13/05/2020,98,29,69
13/05/2020,13,6,7
14/05/2020,26,17,9
14/05/2020,24,11,13
14/05/2020,11,3,8
14/05/2020,96,36,60
14/05/2020,7,7,0
15/05/2020,27,15,12
15/05/2020,25,10,15
15/05/2020,12,3,9
15/05/2020,99,33,66
15/05/2020,8,6,2
16/05/2020,26,12,14
16/05/2020,21,10,11
16/05/2020,9,3,6
16/05/2020,103,43,60
16/05/2020,0,0,0
17/05/2020,26,15,11
17/05/2020,29,13,16
17/05/2020,6,1,5
17/05/2020,99,26,73
17/05/2020,0,0,0
18/05/2020,28,15,13
18/05/2020,34,14,20
18/05/2020,6,5,1
18/05/2020,93,41,52
18/05/2020,8,6,2
19/05/2020,32,13,19
19/05/2020,27,12,15
19/05/2020,6,5,1
19/05/2020,97,44,53
19/05/2020,7,6,1
20/05/2020,36,13,23
20/05/2020,27,11,16
20/05/2020,5,1,4
20/05/2020,99,32,67
20/05/2020,8,6,2
21/05/2020,34,15,19
21/05/2020,28,13,15
21/05/2020,5,1,4
21/05/2020,102,34,68
21/05/2020,12,9,1
22/05/2020,34,17,17
22/05/2020,35,15,20
22/05/2020,4,1,3
22/05/2020,91,34,57
22/05/2020,13,9,4
23/05/2020,32,17,15
23/05/2020,32,16,16
23/05/2020,4,1,3
23/05/2020,95,31,64
23/05/2020,2,1,1
24/05/2020,30,17,13
24/05/2020,33,16,17
24/05/2020,4,1,3
24/05/2020,100,45,55
24/05/2020,4,3,1
25/05/2020,29,16,13
25/05/2020,41,18,23
25/05/2020,5,1,4
25/05/2020,132,48,84
25/05/2020,7,4,3
26/05/2020,27,15,12
26/05/2020,37,17,20
26/05/2020,6,1,5
26/05/2020,140,52,88
26/05/2020,19,13,6
27/05/2020,32,17,15
27/05/2020,45,18,27
27/05/2020,6,1,5
27/05/2020,143,53,90
27/05/2020,15,13,2
28/05/2020,33,13,20
28/05/2020,38,17,21
28/05/2020,6,1,5
28/05/2020,151,68,83
28/05/2020,17,15,2
29/05/2020,37,13,24
29/05/2020,50,20,30
29/05/2020,6,4,2
29/05/2020,172,71,101
29/05/2020,18,16,2
30/05/2020,37,17,20
30/05/2020,50,30,20
30/05/2020,7,6,1
30/05/2020,178,71,107
30/05/2020,17,14,3
31/05/2020,34,19,15
31/05/2020,50,21,29
31/05/2020,8,7,1
31/05/2020,189,93,96
31/05/2020,8,5,3
01/06/2020,40,20,20
01/06/2020,53,19,34
01/06/2020,10,7,3
01/06/2020,188,85,103
01/06/2020,16,13,3
02/06/2020,54,20,34
02/06/2020,51,27,24
02/06/2020,14,5,9
02/06/2020,251,90,161
02/06/2020,11,6,5
03/06/2020,62,26,36
03/06/2020,50,32,18
03/06/2020,15,5,10
03/06/2020,261,89,172
03/06/2020,27,18,9
04/06/2020,61,27,34
04/06/2020,46,30,16
04/06/2020,17,4,13
04/06/2020,278,88,190
04/06/2020,24,20,4
05/06/2020,70,26,44
05/06/2020,46,30,16
05/06/2020,16,4,12
05/06/2020,259,102,157
05/06/2020,9,8,1
06/06/2020,65,27,38
06/06/2020,47,29,18
06/06/2020,13,4,9
06/06/2020,260,94,166
06/06/2020,9,7,2
07/06/2020,65,34,31
07/06/2020,61,24,37
07/06/2020,12,3,9
07/06/2020,273,94,179
07/06/2020,10,8,2
08/06/2020,67,35,32
08/06/2020,54,21,33
08/06/2020,13,2,11
08/06/2020,280,115,165
08/06/2020,26,19,7
09/06/2020,69,33,36
09/06/2020,72,25,47
09/06/2020,15,1,14
09/06/2020,350,127,223
09/06/2020,31,17,14
10/06/2020,75,34,41
10/06/2020,76,29,47
10/06/2020,14,1,13
10/06/2020,315,126,189
10/06/2020,52,34,18
11/06/2020,69,32,37
11/06/2020,73,31,42
11/06/2020,16,2,14
11/06/2020,349,118,231
11/06/2020,31,16,15
12/06/2020,69,23,46
12/06/2020,79,29,50
12/06/2020,19,8,11
12/06/2020,344,97,247
12/06/2020,52,27,25
13/06/2020,72,20,52
13/06/2020,80,40,40
13/06/2020,24,8,16
13/06/2020,363,151,212
13/06/2020,53,30,23
14/06/2020,69,21,48
14/06/2020,83,44,39
14/06/2020,26,8,18
14/06/2020,375,138,237
14/06/2020,42,30,12
15/06/2020,71,32,39
15/06/2020,86,44,42
15/06/2020,26,8,18
15/06/2020,438,158,280
15/06/2020,82,49,33
16/06/2020,87,37,50
16/06/2020,86,51,35
16/06/2020,26,10,16
16/06/2020,459,166,293
16/06/2020,67,38,29
17/06/2020,90,39,51
17/06/2020,90,49,41
17/06/2020,30,10,20
17/06/2020,475,180,295
17/06/2020,66,35,31
18/06/2020,87,34,53
18/06/2020,101,44,57
18/06/2020,23,5,18
18/06/2020,484,162,322
18/06/2020,63,33,30
19/06/2020,85,42,47
19/06/2020,93,46,47
19/06/2020,28,5,23
19/06/2020,475,135,340
19/06/2020,80,41,39
20/06/2020,84,45,39
20/06/2020,108,56,52
20/06/2020,30,4,26
20/06/2020,474,124,350
20/06/2020,61,27,34
21/06/2020,98,48,50
21/06/2020,107,58,49
21/06/2020,31,3,28
21/06/2020,478,121,357
21/06/2020,44,25,19
22/06/2020,84,39,45
22/06/2020,107,62,45
22/06/2020,33,10,23
22/06/2020,460,142,318
22/06/2020,64,36,25
23/06/2020,86,40,46
23/06/2020,94,54,40
23/06/2020,29,7,22
23/06/2020,435,130,305
23/06/2020,63,34,29
24/06/2020,85,41,44
24/06/2020,93,50,43
24/06/2020,31,11,20
24/06/2020,435,145,290
24/06/2020,60,44,16
25/06/2020,92,49,43
25/06/2020,89,42,47
25/06/2020,33,19,14
25/06/2020,463,124,339
25/06/2020,55,37,18
26/06/2020,88,48,40
26/06/2020,88,48,40
26/06/2020,30,18,12
26/06/2020,452,132,320
26/06/2020,52,36,16
27/06/2020,102,46,56
27/06/2020,98,48,50
27/06/2020,27,16,11
27/06/2020,460,140,320
27/06/2020,0,0,0
28/06/2020,110,50,60
28/06/2020,95,45,50
28/06/2020,30,15,15
28/06/2020,471,251,220
28/06/2020,57,27,30
29/06/2020,117,37,80
29/06/2020,93,41,52
29/06/2020,29,15,14
29/06/2020,473,174,299
29/06/2020,63,42,21
30/06/2020,119,42,77
30/06/2020,93,53,40
30/06/2020,29,18,11
30/06/2020,463,172,291
30/06/2020,68,43,27
01/07/2020,115,50,65
01/07/2020,91,56,35
01/07/2020,31,17,14
01/07/2020,485,171,314
01/07/2020,66,40,26
02/07/2020,113,58,55
02/07/2020,89,58,31
02/07/2020,29,19,10
02/07/2020,455,161,294
02/07/2020,65,40,25
03/07/2020,115,61,54
03/07/2020,95,55,40
03/07/2020,30,19,11
03/07/2020,496,192,304
03/07/2020,64,40,25
04/07/2020,114,60,54
04/07/2020,95,55,40
04/07/2020,29,15,14
04/07/2020,495,229,266
04/07/2020,44,30,14
05/07/2020,117,59,58
05/07/2020,96,55,41
05/07/2020,31,17,14
05/07/2020,489,195,294
05/07/2020,44,30,14
06/07/2020,109,57,52
06/07/2020,87,48,39
06/07/2020,27,17,10
06/07/2020,501,217,284
06/07/2020,61,28,33
07/07/2020,105,50,55
07/07/2020,95,49,46
07/07/2020,32,16,16
07/07/2020,486,221,265
07/07/2020,47,20,27
08/07/2020,102,48,54
08/07/2020,96,50,46
08/07/2020,29,14,15
08/07/2020,499,209,290
08/07/2020,58,29,29
09/07/2020,108,46,62
09/07/2020,94,64,30
09/07/2020,29,11,18
09/07/2020,513,229,284
09/07/2020,66,39,27
10/07/2020,107,52,55
10/07/2020,99,60,39
10/07/2020,28,15,13
10/07/2020,523,268,255
10/07/2020,71,38,33
11/07/2020,105,50,55
11/07/2020,97,62,35
11/07/2020,23,13,10
11/07/2020,525,212,313
11/07/2020,36,23,13
12/07/2020,112,49,63
12/07/2020,102,60,42
12/07/2020,22,13,9
12/07/2020,549,260,289
12/07/2020,54,31,14
13/07/2020,104,44,60
13/07/2020,105,60,45
13/07/2020,20,11,9
13/07/2020,540,228,312
13/07/2020,65,45,20
14/07/2020,104,47,57
14/07/2020,100,64,36
14/07/2020,18,10,8
14/07/2020,528,287,241
14/07/2020,67,45,22
15/07/2020,99,33,66
15/07/2020,97,57,40
15/07/2020,15,7,8
15/07/2020,521,291,230
15/07/2020,63,46,17
16/07/2020,107,35,72
16/07/2020,94,54,40
16/07/2020,20,7,13
16/07/2020,502,302,200
16/07/2020,64,41,23
17/07/2020,110,50,60
17/07/2020,87,56,31
17/07/2020,19,5,14
17/07/2020,507,292,215
17/07/2020,72,57,15
18/07/2020,109,45,64
18/07/2020,86,57,29
18/07/2020,21,7,14
18/07/2020,498,251,247
18/07/2020,55,33,22
19/07/2020,120,52,68
19/07/2020,88,56,32
19/07/2020,22,6,16
19/07/2020,516,389,127
19/07/2020,55,33,22
20/07/2020,111,56,55
20/07/2020,101,57,44
20/07/2020,22,4,18
20/07/2020,499,278,221
20/07/2020,66,53,13
21/07/2020,121,55,66
21/07/2020,98,57,41
21/07/2020,22,4,18
21/07/2020,533,286,247
21/07/2020,52,36,16
22/07/2020,122,53,69
22/07/2020,97,49,48
22/07/2020,25,6,19
22/07/2020,533,323,210
22/07/2020,65,48,17
23/07/2020,119,52,67
23/07/2020,87,60,27
23/07/2020,27,5,22
23/07/2020,527,291,236
23/07/2020,56,45,11
24/07/2020,121,54,67
24/07/2020,92,63,29
24/07/2020,31,8,23
24/07/2020,534,297,237
24/07/2020,60,48,12
25/07/2020,128,53,75
25/07/2020,94,64,30
25/07/2020,32,8,24
25/07/2020,530,265,265
25/07/2020,68,51,17
26/07/2020,142,57,85
26/07/2020,89,57,32
26/07/2020,30,6,24
26/07/2020,536,312,224
26/07/2020,68,51,17
27/07/2020,143,54,89
27/07/2020,93,48,45
27/07/2020,30,6,24
27/07/2020,557,310,247
27/07/2020,63,50,13
28/07/2020,140,57,83
28/07/2020,85,52,33
28/07/2020,32,8,24
28/07/2020,568,323,245
28/07/2020,82,48,34
29/07/2020,137,65,72
29/07/2020,100,58,42
29/07/2020,36,8,28
29/07/2020,556,357,199
29/07/2020,63,46,17
30/07/2020,142,72,70
30/07/2020,90,56,34
30/07/2020,33,6,27
30/07/2020,534,360,174
30/07/2020,69,41,28
31/07/2020,144,68,76
31/07/2020,95,66,29
31/07/2020,27,12,15
31/07/2020,513,292,221
31/07/2020,70,49,21
01/08/2020,153,81,72
01/08/2020,91,60,31
01/08/2020,30,11,19
01/08/2020,522,320,202
01/08/2020,45,30,15
02/08/2020,146,88,58
02/08/2020,84,43,41
02/08/2020,31,11,20
02/08/2020,537,329,208
02/08/2020,54,34,20
03/08/2020,141,84,57
03/08/2020,79,45,34
03/08/2020,32,15,17
03/08/2020,544,286,258
03/08/2020,62,34,28
04/08/2020,131,79,52
04/08/2020,74,55,19
04/08/2020,33,13,20
04/08/2020,531,333,198
04/08/2020,48,30,18
05/08/2020,130,80,50
05/08/2020,74,51,23
05/08/2020,32,13,19
05/08/2020,554,313,241
05/08/2020,66,36,30
06/08/2020,128,80,48
06/08/2020,70,51,19
06/08/2020,35,11,24
06/08/2020,554,313,241
06/08/2020,81,55,26
07/08/2020,141,84,57
07/08/2020,74,50,24
07/08/2020,33,15,18
07/08/2020,470,305,165
07/08/2020,69,46,23
08/08/2020,135,76,59
08/08/2020,74,48,26
08/08/2020,32,14,18
08/08/2020,508,289,219
08/08/2020,69,46,23
09/08/2020,137,81,56
09/08/2020,78,50,28
09/08/2020,34,12,22
09/08/2020,496,291,205
09/08/2020,52,39,13
10/08/2020,146,75,71
10/08/2020,80,42,38
10/08/2020,34,11,23
10/08/2020,522,290,232
10/08/2020,56,41,15
11/08/2020,142,81,61
11/08/2020,78,50,28
11/08/2020,35,10,25
11/08/2020,523,292,231
11/08/2020,73,46,27
12/08/2020,140,80,60
12/08/2020,77,52,25
12/08/2020,36,18,18
12/08/2020,481,278,203
12/08/2020,80,52,28
13/08/2020,134,76,58
13/08/2020,76,52,24
13/08/2020,37,18,19
13/08/2020,501,285,216
13/08/2020,74,45,29
14/08/2020,158,91,67
14/08/2020,79,53,26
14/08/2020,39,16,23
14/08/2020,500,254,246
14/08/2020,55,36,19
15/08/2020,157,89,68
15/08/2020,77,51,26
15/08/2020,38,14,24
15/08/2020,500,254,246
15/08/2020,69,52,17
16/08/2020,157,78,79
16/08/2020,96,50,46
16/08/2020,36,13,23
16/08/2020,499,254,245
16/08/2020,26,19,7
17/08/2020,151,84,67
17/08/2020,94,49,45
17/08/2020,34,10,24
17/08/2020,499,221,278
17/08/2020,68,48,20
18/08/2020,161,92,69
18/08/2020,96,53,43
18/08/2020,34,23,11
18/08/2020,491,247,244
18/08/2020,76,51,25
19/08/2020,158,90,68
19/08/2020,99,59,40
19/08/2020,34,16,18
19/08/2020,518,240,278
19/08/2020,81,56,25
20/08/2020,140,87,53
20/08/2020,92,66,26
20/08/2020,32,16,16
20/08/2020,491,281,210
20/08/2020,83,66,17
21/08/2020,153,101,52
21/08/2020,98,65,33
21/08/2020,30,13,17
21/08/2020,481,306,175
21/08/2020,62,49,13
22/08/2020,150,93,57
22/08/2020,95,61,34
22/08/2020,31,21,10
22/08/2020,503,312,191
22/08/2020,62,49,13
23/08/2020,138,89,49
23/08/2020,96,60,36
23/08/2020,34,20,14
23/08/2020,500,258,242
23/08/2020,62,49,13
24/08/2020,138,96,42
24/08/2020,91,59,32
24/08/2020,36,22,14
24/08/2020,524,303,221
24/08/2020,101,85,16
25/08/2020,135,92,43
25/08/2020,83,64,19
25/08/2020,36,20,16
25/08/2020,508,320,188
25/08/2020,93,65,28
26/08/2020,138,92,46
26/08/2020,87,63,24
26/08/2020,37,17,20
26/08/2020,475,297,178
26/08/2020,67,46,21
27/08/2020,144,90,54
27/08/2020,90,68,22
27/08/2020,37,17,20
27/08/2020,474,287,187
27/08/2020,47,35,12
28/08/2020,150,85,65
28/08/2020,85,63,22
28/08/2020,30,17,13
28/08/2020,474,292,182
28/08/2020,93,75,18
29/08/2020,144,84,60
29/08/2020,88,61,27
29/08/2020,30,19,11
29/08/2020,453,289,164
29/08/2020,93,75,18
30/08/2020,150,87,63
30/08/2020,89,57,32
30/08/2020,29,18,11
30/08/2020,454,280,174
30/08/2020,0,0,0
31/08/2020,143,91,52
31/08/2020,90,54,36
31/08/2020,31,19,12
31/08/2020,460,292,168
31/08/2020,37,30,7
01/09/2020,140,87,53
01/09/2020,97,63,34
01/09/2020,27,13,14
01/09/2020,455,306,149
01/09/2020,84,62,22
02/09/2020,145,89,56
02/09/2020,92,65,27
02/09/2020,23,11,12
02/09/2020,449,275,174
02/09/2020,92,70,22
03/09/2020,145,91,54
03/09/2020,90,65,25
03/09/2020,23,8,15
03/09/2020,438,270,168
03/09/2020,90,72,18
04/09/2020,141,89,52
04/09/2020,89,55,34
04/09/2020,25,8,17
04/09/2020,455,283,172
04/09/2020,85,69,16
05/09/2020,143,99,44
05/09/2020,95,61,34
05/09/2020,22,7,15
05/09/2020,448,252,196
05/09/2020,74,50,24
06/09/2020,137,88,49
06/09/2020,93,57,36
06/09/2020,25,8,17
06/09/2020,446,264,182
06/09/2020,0,0,0
07/09/2020,134,85,49
07/09/2020,92,51,41
07/09/2020,26,18,8
07/09/2020,452,279,173
07/09/2020,29,24,5
08/09/2020,133,85,48
08/09/2020,86,53,33
08/09/2020,20,13,7
08/09/2020,442,276,166
08/09/2020,91,70,21
09/09/2020,133,84,49
09/09/2020,84,58,26
09/09/2020,20,11,9
09/09/2020,428,302,126
09/09/2020,77,58,19
10/09/2020,148,88,60
10/09/2020,90,59,31
10/09/2020,21,11,10
10/09/2020,400,270,130
10/09/2020,80,62,18
11/09/2020,145,89,56
11/09/2020,89,59,30
11/09/2020,18,9,9
11/09/2020,403,257,146
11/09/2020,67,55,12
12/09/2020,143,85,58
12/09/2020,90,55,35
12/09/2020,19,14,5
12/09/2020,390,227,163
12/09/2020,49,39,10
13/09/2020,147,98,49
13/09/2020,89,49,40
13/09/2020,19,13,6
13/09/2020,414,226,188
13/09/2020,0,0,0
14/09/2020,136,89,47
14/09/2020,86,54,32
14/09/2020,19,11,8
14/09/2020,419,218,201
14/09/2020,68,55,13
15/09/2020,128,89,39
15/09/2020,83,47,36
15/09/2020,21,10,11
15/09/2020,418,226,192
15/09/2020,79,54,25
16/09/2020,133,91,42
16/09/2020,82,50,32
16/09/2020,21,10,11
16/09/2020,412,215,197
16/09/2020,53,40,13
17/09/2020,137,90,47
17/09/2020,79,49,30
17/09/2020,24,10,14
17/09/2020,394,238,156
17/09/2020,48,34,14
18/09/2020,131,87,44
18/09/2020,79,42,37
18/09/2020,26,10,16
18/09/2020,378,238,140
18/09/2020,78,62,16
19/09/2020,127,93,34
19/09/2020,83,49,34
19/09/2020,29,13,16
19/09/2020,380,199,181
19/09/2020,52,42,10
20/09/2020,120,82,38
20/09/2020,84,44,40
20/09/2020,33,17,16
20/09/2020,396,219,177
20/09/2020,49,40,9
21/09/2020,117,75,42
21/09/2020,88,42,46
21/09/2020,29,13,16
21/09/2020,408,253,155
21/09/2020,76,59,17
22/09/2020,129,87,42
22/09/2020,90,35,55
22/09/2020,31,18,13
22/09/2020,403,252,151
22/09/2020,76,56,20
23/09/2020,127,82,45
23/09/2020,86,51,35
23/09/2020,30,16,14
23/09/2020,391,255,136
23/09/2020,85,68,17
24/09/2020,121,78,43
24/09/2020,80,51,29
24/09/2020,29,20,9
24/09/2020,384,254,130
24/09/2020,87,66,21
25/09/2020,128,87,41
25/09/2020,80,54,26
25/09/2020,28,20,8
25/09/2020,379,229,150
25/09/2020,95,65,30
26/09/2020,125,81,44
26/09/2020,78,53,25
26/09/2020,28,19,9
26/09/2020,359,217,142
26/09/2020,0,0,0
27/09/2020,118,80,38
27/09/2020,80,51,29
27/09/2020,27,16,11
27/09/2020,370,222,148
27/09/2020,56,48,8
28/09/2020,114,71,43
28/09/2020,81,46,35
28/09/2020,29,18,11
28/09/2020,365,223,142
28/09/2020,0,0,0
29/09/2020,120,75,45
29/09/2020,84,44,40
29/09/2020,30,18,12
29/09/2020,368,220,148
29/09/2020,0,0,0
30/09/2020,113,70,43
30/09/2020,89,51,38
30/09/2020,35,15,20
30/09/2020,339,217,122
30/09/2020,91,66,25
01/10/2020,109,67,42
01/10/2020,89,58,31
01/10/2020,32,16,16
01/10/2020,336,208,128
01/10/2020,92,72,20
02/10/2020,103,61,42
02/10/2020,85,66,19
02/10/2020,30,14,16
02/10/2020,316,189,127
02/10/2020,69,55,14
03/10/2020,106,61,45
03/10/2020,80,59,21
03/10/2020,28,15,13
03/10/2020,314,182,132
03/10/2020,64,52,12
04/10/2020,103,64,39
04/10/2020,78,54,24
04/10/2020,24,12,12
04/10/2020,311,183,128
04/10/2020,69,58,11
05/10/2020,109,66,43
05/10/2020,76,51,25
05/10/2020,25,14,11
05/10/2020,334,215,119
05/10/2020,86,68,18
06/10/2020,105,62,43
06/10/2020,80,48,32
06/10/2020,26,13,13
06/10/2020,329,198,131
06/10/2020,83,54,29
07/10/2020,107,65,42
07/10/2020,77,47,30
07/10/2020,26,11,15
07/10/2020,335,195,140
07/10/2020,97,75,22
08/10/2020,117,70,47
08/10/2020,82,57,25
08/10/2020,30,11,19
08/10/2020,334,199,135
08/10/2020,93,74,19
09/10/2020,108,61,47
09/10/2020,84,52,32
09/10/2020,27,10,17
09/10/2020,341,208,133
09/10/2020,90,72,18
10/10/2020,110,64,46
10/10/2020,88,57,31
10/10/2020,27,13,14
10/10/2020,349,208,141
10/10/2020,90,75,15
11/10/2020,115,67,48
11/10/2020,91,57,34
11/10/2020,25,12,13
11/10/2020,348,206,142
11/10/2020,0,0,0
12/10/2020,120,79,41
12/10/2020,93,53,40
12/10/2020,29,17,12
12/10/2020,356,194,162
12/10/2020,89,69,20
13/10/2020,121,83,38
13/10/2020,76,52,24
13/10/2020,30,16,14
13/10/2020,357,207,150
13/10/2020,67,55,12
14/10/2020,120,82,38
14/10/2020,76,51,25
14/10/2020,34,16,18
14/10/2020,344,220,124
14/10/2020,90,65,25
15/10/2020,121,82,39
15/10/2020,71,49,22
15/10/2020,30,13,17
15/10/2020,342,209,133
15/10/2020,89,64,25
16/10/2020,115,79,36
16/10/2020,61,48,13
16/10/2020,31,14,17
16/10/2020,343,209,134
16/10/2020,95,69,26
17/10/2020,111,78,33
17/10/2020,67,48,19
17/10/2020,31,13,18
17/10/2020,357,229,128
17/10/2020,0,0,0
18/10/2020,112,74,38
18/10/2020,70,47,23
18/10/2020,32,12,20
18/10/2020,388,229,159
18/10/2020,0,0,0
19/10/2020,113,78,35
19/10/2020,77,45,32
19/10/2020,30,12,18
19/10/2020,411,236,175
19/10/2020,87,66,21
20/10/2020,131,84,47
20/10/2020,83,41,42
20/10/2020,32,16,16
20/10/2020,418,260,158
20/10/2020,94,68,26
21/10/2020,127,78,49
21/10/2020,90,51,39
21/10/2020,32,14,18
